time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:02.388870193,LON0_C1700,6.19,6.46,2,12
2020.04.30D12:00:02.388873727,LON0_P1950,3.55,3.65,6,4
2020.04.30D12:00:02.389028506,LOM0_C2300,0.79,0.86,12,11
2020.04.30D12:00:02.389038107,LON0_P1650,2.62,2.72,23,15
2020.04.30D12:00:02.389042117,LON0_C2750,1.24,1.34,9,18
2020.04.30D12:00:02.389052586,LON0_C1800,5.49,5.74,6,12
2020.04.30D12:00:02.389056431,LON0_C2100,3.69,3.82,5,6
2020.04.30D12:00:02.389086772,LON0_P1000,1.51,1.58,7,19
2020.04.30D12:00:02.389396259,LOM0_P1850,3.3,3.4,5,2
2020.04.30D12:00:02.389400292,LOM0_C1800,2.62,2.7,3,10
2020.04.30D12:00:02.389403588,LOM0_C1950,1.87,1.95,5,14
2020.04.30D12:00:02.389406947,LOM0_P1550,2.16,2.23,5,5
2020.04.30D12:00:02.389410411,LOM0_C2150,1.16,1.23,12,9
2020.04.30D12:00:02.389426356,LON0_C2100,3.69,3.82,5,6
2020.04.30D12:00:02.389430152,LON0_P2150,4.39,4.51,6,6
2020.04.30D12:00:02.389433331,LON0_P2000,3.74,3.85,6,9
2020.04.30D12:00:02.389437252,LON0_C2300,2.71,2.82,5,15
2020.04.30D12:00:02.389442142,LON0_P1900,3.37,3.47,8,7
2020.04.30D12:00:02.389445659,LON0_C2400,2.3,2.4,5,16
2020.04.30D12:00:02.389450700,LON0_P1850,3.2,3.3,8,12
2020.04.30D12:00:02.389454327,LON0_P1800,3.04,3.14,8,9
2020.04.30D12:00:02.389542140,LOM0_C1050,8.2,8.37,1,7
2020.04.30D12:00:02.389546462,LOM0_C1100,7.77,7.93,7,13
2020.04.30D12:00:02.389549866,LOM0_C1250,6.49,6.64,8,13
2020.04.30D12:00:02.389553500,LOM0_C1350,5.68,5.83,8,9
2020.04.30D12:00:02.389556933,LOM0_C1550,4.18,4.29,1,2
2020.04.30D12:00:02.389727379,LON0_C2550,1.79,1.88,5,12
2020.04.30D12:00:02.389731040,LON0_P1600,2.5,2.6,9,13
2020.04.30D12:00:02.389734209,LON0_C2700,1.36,1.46,9,17
2020.04.30D12:00:02.389739369,LON0_C2750,1.24,1.34,9,18
2020.04.30D12:00:02.389742728,LON0_P1450,2.17,2.26,23,5
